tipo_celular,module_size,COG2_MM,COG2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.068,4.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.241,94.0,98,12,12.24,1.22 (0.43-2.00),86,87.76,3.42 (3.13-3.71)
astrocytes 5,1656.0,0.127,69.0,136,3,2.21,3.28 (2.89-3.67),133,97.79,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.141,59.0,353,28,7.93,2.36 (1.69-3.04),325,92.07,4.06 (3.88-4.25)
GABA neurons expressing GLU receptors 22,714.0,0.096,7.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,403.0,0.231,86.0,18,7,38.89,0.63 (0.47-0.80),11,61.11,2.67 (1.87-3.48)
GABA like neurons 14,3052.0,0.173,78.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.049,21.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,708.0,0.056,19.0,32,9,28.12,1.13 (0.54-1.73),23,71.88,4.25 (3.41-5.09)
oligodendrocytes 10,2107.0,0.021,1.0,358,20,5.59,1.91 (1.16-2.67),338,94.41,4.02 (3.83-4.21)
connective tissue cells 21,126.0,0.339,83.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,208.0,0.04,15.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,87.0,0.209,61.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,67.0,0.357,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.181,98.0,104,10,9.62,1.75 (0.94-2.57),94,90.38,2.99 (2.70-3.28)
oligodendrocytes 0,2078.0,0.136,89.0,238,8,3.36,3.31 (1.91-4.70),230,96.64,3.65 (3.43-3.87)
microglia 1,813.0,0.091,18.0,79,5,6.33,2.90 (2.07-3.73),74,93.67,3.12 (2.69-3.55)
oligodendrocytes 3,743.0,0.068,30.0,76,1,1.32,3.60 (NA-NA),75,98.68,3.15 (2.75-3.55)
oligodendrocytes 2,1630.0,0.145,57.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
