tipo_celular,module_size,FAM174B_MM,FAM174B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.152,43.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.092,17.0,136,1,0.74,3.31 (NA-NA),135,99.26,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,14,3.97,1.82 (0.83-2.81),339,96.03,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,1069.0,0.065,2.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229.0,0.227,68.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,204.0,0.23,67.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.13,23.0,120,3,2.5,2.79 (2.27-3.32),117,97.5,4.66 (4.34-4.98)
oligodendrocytes 20,322.0,0.173,69.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402.0,0.093,7.0,455,9,1.98,1.29 (0.44-2.13),446,98.02,4.43 (4.25-4.61)
astrocytes 8,1266.0,0.02,1.0,66,9,13.64,0.97 (0.48-1.45),57,86.36,3.65 (3.26-4.03)
oligodendrocyte progenitor cells 12,3303.0,0.068,36.0,276,4,1.45,4.12 (2.17-6.07),272,98.55,3.53 (3.31-3.75)
oligodendrocytes 10,1277.0,0.03,3.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.3,53.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.047,14.0,96,1,1.04,2.23 (NA-NA),95,98.96,3.63 (3.18-4.08)
oligodendrocytes 16,92.0,0.202,44.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.3,38.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.116,9.0,104,3,2.88,1.35 (-0.57-3.28),101,97.12,2.91 (2.63-3.19)
oligodendrocytes 0,2078.0,0.081,4.0,238,5,2.1,3.34 (1.18-5.49),233,97.9,3.64 (3.42-3.86)
microglia 1,346.0,0.053,1.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,639.0,0.062,19.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,407.0,0.066,1.0,122,5,4.1,0.42 (0.32-0.52),117,95.9,3.49 (3.11-3.87)
