tipo_celular,module_size,ATG5_MM,ATG5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178.0,0.153,14.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,518.0,0.231,87.0,131,6,4.58,5.03 (2.90-7.16),125,95.42,2.99 (2.72-3.25)
astrocytes 5,1141.0,0.13,48.0,166,40,24.1,2.80 (2.36-3.24),126,75.9,3.61 (3.31-3.90)
oligodendrocyte progenitor cells 7,4285.0,0.171,94.0,353,66,18.7,2.57 (2.14-3.00),287,81.3,4.24 (4.06-4.42)
GABA neurons expressing GLU receptors 22,823.0,0.286,94.0,23,4,17.39,2.59 (1.55-3.63),19,82.61,2.34 (1.44-3.24)
GLU like neurons 17,1316.0,0.11,38.0,101,7,6.93,4.47 (2.99-5.95),94,93.07,2.94 (2.59-3.29)
da like neurons 11,89.0,0.458,93.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.087,18.0,297,7,2.36,3.33 (2.78-3.87),290,97.64,3.68 (3.47-3.89)
oligodendrocytes 20,938.0,0.043,10.0,169,17,10.06,2.71 (2.11-3.30),152,89.94,3.59 (3.36-3.82)
GABA like neurons 14,3052.0,0.192,89.0,125,9,7.2,3.76 (3.22-4.29),116,92.8,3.33 (2.98-3.67)
astrocytes 8,262.0,0.095,25.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303.0,0.089,63.0,276,42,15.22,2.54 (2.06-3.01),234,84.78,3.76 (3.52-3.99)
oligodendrocytes 10,2107.0,0.248,82.0,358,64,17.88,2.49 (2.05-2.93),294,82.12,4.24 (4.06-4.43)
connective tissue cells 21,90.0,0.311,62.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1768.0,0.123,80.0,105,27,25.71,2.51 (1.84-3.18),78,74.29,3.48 (3.11-3.85)
oligodendrocytes 16,123.0,0.275,85.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.344,68.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,787.0,0.152,53.0,65,6,9.23,4.27 (3.68-4.86),59,90.77,2.79 (2.37-3.20)
oligodendrocytes 0,2078.0,0.123,68.0,238,25,10.5,3.71 (2.91-4.51),213,89.5,3.63 (3.40-3.86)
microglia 1,958.0,0.187,97.0,290,20,6.9,2.48 (1.91-3.05),270,93.1,3.94 (3.70-4.18)
oligodendrocytes 3,854.0,0.099,60.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,921.0,0.129,35.0,200,14,7.0,3.68 (2.58-4.78),186,93.0,3.62 (3.34-3.89)
