tipo_celular,module_size,ERCC8_MM,ERCC8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.237,69.0,21,13,61.9,1.57 (0.94-2.20),8,38.1,3.39 (2.59-4.20)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.137,82.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.145,65.0,353,72,20.4,2.88 (2.53-3.23),281,79.6,4.23 (4.03-4.43)
GABA neurons expressing GLU receptors 22,599.0,0.222,57.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316.0,0.14,64.0,101,4,3.96,3.56 (2.61-4.50),97,96.04,3.03 (2.66-3.39)
da like neurons 11,137.0,0.267,46.0,2,0,0.0,NA,2,100.0,5.16 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.132,52.0,169,16,9.47,3.53 (2.80-4.26),153,90.53,3.47 (3.24-3.71)
GABA like neurons 14,3052.0,0.172,77.0,125,10,8.0,3.40 (2.97-3.84),115,92.0,3.35 (3.01-3.69)
astrocytes 8,727.0,0.146,72.0,29,2,6.9,2.49 (1.16-3.83),27,93.1,2.35 (1.83-2.88)
oligodendrocyte progenitor cells 12,708.0,0.083,36.0,32,6,18.75,0.95 (-0.08-1.97),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,2107.0,0.143,49.0,358,76,21.23,2.73 (2.39-3.07),282,78.77,4.28 (4.08-4.49)
connective tissue cells 21,88.0,0.299,55.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,458.0,0.023,3.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,69.0,0.146,11.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,112.0,0.293,36.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.154,67.0,104,33,31.73,2.30 (1.90-2.69),71,68.27,3.16 (2.80-3.51)
oligodendrocytes 0,479.0,0.126,29.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,813.0,0.105,35.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,639.0,0.078,35.0,15,6,40.0,1.58 (0.48-2.67),9,60.0,4.80 (3.06-6.54)
oligodendrocytes 2,804.0,0.12,14.0,84,28,33.33,3.25 (2.73-3.77),56,66.67,2.37 (1.97-2.78)
