tipo_celular,module_size,CCDC85B_MM,CCDC85B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.307,90.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56)
T cells 18,506.0,0.246,67.0,225,11,4.89,2.26 (1.45-3.07),214,95.11,3.71 (3.45-3.96)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.231,71.0,251,1,0.4,4.29 (NA-NA),250,99.6,4.06 (3.82-4.30)
GABA neurons expressing GLU receptors 22,487.0,0.442,97.0,73,6,8.22,2.00 (0.95-3.06),67,91.78,2.83 (2.43-3.24)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.477,97.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,417.0,0.28,95.0,213,15,7.04,1.32 (0.62-2.02),198,92.96,4.00 (3.78-4.23)
endothelial cells 9,916.0,0.407,85.0,302,3,0.99,2.21 (-0.37-4.80),299,99.01,4.01 (3.78-4.23)
oligodendrocytes 20,938.0,0.156,65.0,169,5,2.96,1.70 (0.14-3.26),164,97.04,3.55 (3.33-3.76)
GABA like neurons 14,2402.0,0.691,99.0,455,12,2.64,0.78 (0.56-1.00),443,97.36,4.48 (4.30-4.65)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.253,88.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,806.0,0.364,86.0,261,4,1.53,4.13 (3.64-4.62),257,98.47,4.37 (4.12-4.62)
connective tissue cells 21,301.0,0.375,51.0,158,2,1.27,1.54 (-0.40-3.49),156,98.73,4.30 (3.94-4.67)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.274,67.0,291,2,0.69,2.55 (-1.38-6.49),289,99.31,4.34 (4.12-4.57)
da neurons 6,729.0,0.277,93.0,182,5,2.75,1.47 (1.37-1.56),177,97.25,3.71 (3.46-3.96)
astrocytes microglia 23,95.0,0.338,60.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.191,63.0,252,12,4.76,1.15 (0.46-1.85),240,95.24,4.29 (4.05-4.52)
microglia 1,214.0,0.226,65.0,227,3,1.32,4.37 (4.19-4.56),224,98.68,4.09 (3.85-4.33)
oligodendrocytes 3,457.0,0.228,86.0,345,6,1.74,3.33 (2.30-4.37),339,98.26,4.30 (4.09-4.51)
oligodendrocytes 2,526.0,0.292,58.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
