tipo_celular,module_size,PMM2_MM,PMM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.148,42.0,97,1,1.03,2.53 (NA-NA),96,98.97,3.06 (2.66-3.46)
T cells 18,727.0,0.098,16.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1656.0,0.108,38.0,136,4,2.94,1.71 (1.31-2.11),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.173,95.0,353,27,7.65,1.62 (1.22-2.01),326,92.35,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,599.0,0.108,6.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,380.0,0.043,1.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,215.0,0.167,42.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.161,74.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938.0,0.059,17.0,169,9,5.33,2.59 (1.56-3.63),160,94.67,3.54 (3.32-3.76)
GABA like neurons 14,3052.0,0.1,17.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,1266.0,0.052,17.0,66,13,19.7,1.63 (0.95-2.31),53,80.3,3.70 (3.28-4.11)
oligodendrocyte progenitor cells 12,411.0,0.037,10.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107.0,0.159,55.0,358,27,7.54,1.62 (1.22-2.01),331,92.46,4.11 (3.93-4.30)
connective tissue cells 21,102.0,0.362,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.127,82.0,105,15,14.29,1.58 (1.17-1.99),90,85.71,3.51 (3.16-3.86)
oligodendrocytes 16,113.0,0.102,6.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.269,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.151,63.0,104,21,20.19,1.79 (1.38-2.20),83,79.81,3.16 (2.85-3.47)
oligodendrocytes 0,2078.0,0.121,65.0,238,5,2.1,2.06 (0.98-3.14),233,97.9,3.68 (3.45-3.90)
microglia 1,813.0,0.213,95.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.063,19.0,87,19,21.84,1.73 (1.29-2.16),68,78.16,2.85 (2.55-3.15)
oligodendrocytes 2,1630.0,0.132,31.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
