tipo_celular,module_size,PPT1_MM,PPT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.108,15.0,140,16,11.43,3.79 (3.03-4.54),124,88.57,4.63 (4.16-5.10)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.186,62.0,164,16,9.76,4.35 (3.59-5.11),148,90.24,4.05 (3.69-4.40)
GABA neurons expressing GLU receptors 22,400.0,0.129,12.0,24,15,62.5,2.06 (1.34-2.78),9,37.5,2.32 (1.64-2.99)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.157,41.0,410,57,13.9,3.84 (3.55-4.13),353,86.1,4.33 (4.12-4.55)
GABA neurons expressing GABA receptors 13,77.0,0.13,24.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,338.0,0.077,16.0,191,18,9.42,4.03 (3.56-4.50),173,90.58,3.87 (3.62-4.11)
oligodendrocytes 20,938.0,0.095,34.0,169,31,18.34,3.20 (2.75-3.66),138,81.66,3.54 (3.30-3.79)
GABA like neurons 14,2402.0,0.341,73.0,455,54,11.87,2.92 (2.49-3.36),401,88.13,4.59 (4.39-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.039,7.0,235,21,8.94,3.87 (3.40-4.33),214,91.06,3.82 (3.57-4.07)
oligodendrocytes 10,735.0,0.161,79.0,277,8,2.89,3.84 (3.70-3.97),269,97.11,3.90 (3.64-4.15)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.228,62.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,409.0,0.076,15.0,235,21,8.94,3.38 (2.79-3.97),214,91.06,4.06 (3.79-4.33)
astrocytes microglia 23,140.0,0.243,9.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.093,12.0,238,11,4.62,2.55 (1.92-3.17),227,95.38,3.70 (3.47-3.93)
microglia 1,406.0,0.185,52.0,278,15,5.4,4.77 (4.20-5.34),263,94.6,4.33 (4.04-4.62)
oligodendrocytes 3,457.0,0.082,30.0,345,64,18.55,3.69 (3.40-3.98),281,81.45,4.44 (4.19-4.70)
oligodendrocytes 2,1630.0,0.172,95.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
