tipo_celular,module_size,CLVS2_MM,CLVS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,400.0,0.093,4.0,24,7,29.17,0.69 (0.31-1.07),17,70.83,2.76 (2.31-3.21)
GLU like neurons 17,1316.0,0.147,70.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,89.0,0.339,63.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,93.0,0.288,97.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.194,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.205,85.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
