tipo_celular,module_size,RHOG_MM,RHOG_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.173,62.0,71,7,9.86,1.69 (1.12-2.25),64,90.14,2.74 (2.29-3.19)
T cells 18,506.0,0.123,20.0,225,37,16.44,3.09 (2.46-3.72),188,83.56,3.72 (3.45-3.99)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.152,33.0,302,18,5.96,3.01 (2.31-3.70),284,94.04,4.05 (3.81-4.28)
oligodendrocytes 20,938.0,0.183,75.0,169,29,17.16,2.88 (2.30-3.45),140,82.84,3.58 (3.34-3.81)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,483.0,0.19,70.0,129,5,3.88,4.31 (3.88-4.73),124,96.12,3.40 (3.00-3.80)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,113.0,0.198,68.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,101.0,0.369,81.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.161,45.0,252,45,17.86,2.77 (2.19-3.36),207,82.14,4.40 (4.15-4.65)
microglia 1,406.0,0.144,36.0,278,2,0.72,3.85 (2.02-5.68),276,99.28,4.37 (4.09-4.64)
oligodendrocytes 3,303.0,0.107,37.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93)
oligodendrocytes 2,526.0,0.258,49.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
