tipo_celular,module_size,MFSD6_MM,MFSD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,727.0,0.134,42.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,296.0,0.164,39.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,823.0,0.118,15.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.129,46.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,132.0,0.318,67.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,357.0,0.152,45.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,338.0,0.232,77.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,271.0,0.085,11.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052.0,0.099,17.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.146,98.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,806.0,0.377,88.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,101.0,0.231,20.0,116,1,0.86,1.95 (NA-NA),115,99.14,4.64 (4.23-5.06)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,313.0,0.179,34.0,291,1,0.34,0.55 (NA-NA),290,99.66,4.34 (4.12-4.57)
da neurons 6,518.0,0.263,99.0,122,2,1.64,1.62 (0.98-2.26),120,98.36,4.04 (3.64-4.44)
astrocytes microglia 23,42.0,0.5,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,1186.0,0.103,5.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.072,23.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49)
oligodendrocytes 2,528.0,0.136,13.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
