tipo_celular,module_size,CARD8_MM,CARD8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.127,8.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624.0,0.134,35.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.112,44.0,136,6,4.41,1.97 (1.31-2.62),130,95.59,3.27 (3.00-3.55)
oligodendrocyte progenitor cells 7,4285.0,0.151,73.0,353,54,15.3,2.05 (1.77-2.33),299,84.7,4.35 (4.17-4.52)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,658.0,0.203,51.0,120,25,20.83,3.70 (3.20-4.20),95,79.17,4.88 (4.51-5.24)
oligodendrocytes 20,228.0,0.757,100.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,354.0,0.037,4.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.071,30.0,32,10,31.25,1.44 (0.70-2.17),22,68.75,4.25 (3.34-5.15)
oligodendrocytes 10,2107.0,0.233,78.0,358,65,18.16,2.20 (1.89-2.52),293,81.84,4.40 (4.22-4.58)
connective tissue cells 21,118.0,0.356,79.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768.0,0.089,52.0,105,22,20.95,1.83 (1.41-2.25),83,79.05,3.62 (3.25-3.99)
oligodendrocytes 16,82.0,0.132,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.29,51.0,99,4,4.04,4.01 (2.97-5.04),95,95.96,4.31 (3.96-4.66)
astrocytes 4,1807.0,0.131,27.0,104,25,24.04,1.78 (1.39-2.17),79,75.96,3.24 (2.93-3.55)
oligodendrocytes 0,2078.0,0.092,11.0,238,12,5.04,2.41 (1.88-2.93),226,94.96,3.71 (3.49-3.94)
microglia 1,1615.0,0.148,88.0,161,51,31.68,2.11 (1.80-2.42),110,68.32,4.01 (3.71-4.30)
oligodendrocytes 3,681.0,0.055,12.0,87,44,50.57,2.18 (1.89-2.46),43,49.43,3.08 (2.64-3.52)
oligodendrocytes 2,1630.0,0.133,31.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
