tipo_celular,module_size,TBC1D1_MM,TBC1D1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.332,76.0,140,0,0.0,NA,140,100.0,4.56 (4.27-4.84)
T cells 18,624.0,0.191,78.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,156.0,0.215,84.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.156,80.0,353,4,1.13,3.21 (0.92-5.49),349,98.87,3.90 (3.71-4.09)
GABA neurons expressing GLU receptors 22,1069.0,0.245,92.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.125,52.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.337,83.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.093,11.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,727.0,0.226,95.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.096,70.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,92.0,0.177,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.093,11.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.309,58.0,99,4,4.04,4.99 (4.65-5.33),95,95.96,4.26 (3.92-4.61)
astrocytes 4,201.0,0.127,14.0,18,5,27.78,4.70 (4.08-5.33),13,72.22,4.46 (3.19-5.74)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.243,78.0,144,1,0.69,2.68 (NA-NA),143,99.31,4.47 (4.17-4.78)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
