tipo_celular,module_size,MT2A_MM,MT2A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.126,21.0,98,1,1.02,0.55 (NA-NA),97,98.98,3.25 (2.78-3.72)
T cells 18,506.0,0.18,48.0,225,3,1.33,1.78 (0.56-3.00),222,98.67,3.64 (3.39-3.90)
astrocytes 5,328.0,0.66,100.0,128,16,12.5,6.04 (3.82-8.27),112,87.5,3.49 (3.15-3.82)
oligodendrocyte progenitor cells 7,448.0,0.486,100.0,108,2,1.85,NA,106,98.15,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.583,100.0,135,4,2.96,1.14 (0.55-1.72),131,97.04,3.26 (2.96-3.57)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,916.0,0.584,98.0,302,12,3.97,4.86 (0.30-9.41),290,96.03,3.97 (3.75-4.19)
oligodendrocytes 20,938.0,0.279,93.0,169,2,1.18,0.38 (0.04-0.71),167,98.82,3.53 (3.31-3.74)
GABA like neurons 14,2402.0,0.026,1.0,455,8,1.76,0.60 (0.39-0.81),447,98.24,4.43 (4.26-4.61)
astrocytes 8,603.0,0.407,100.0,89,12,13.48,7.18 (NA-NA),77,86.52,2.69 (2.36-3.02)
oligodendrocyte progenitor cells 12,1049.0,0.536,100.0,235,2,0.85,3.90 (3.90-3.90),233,99.15,3.82 (3.59-4.06)
oligodendrocytes 10,483.0,0.163,65.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,301.0,0.451,69.0,158,2,1.27,1.54 (-0.40-3.49),156,98.73,4.30 (3.94-4.67)
astrocytes 15,1768.0,0.134,85.0,105,5,4.76,1.28 (0.44-2.13),100,95.24,3.32 (2.98-3.65)
oligodendrocytes 16,96.0,0.332,89.0,102,2,1.96,0.67 (0.11-1.22),100,98.04,3.41 (3.08-3.74)
da neurons 6,729.0,0.137,41.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,137.0,0.339,43.0,188,5,2.66,0.64 (0.36-0.91),183,97.34,4.49 (4.16-4.82)
astrocytes 4,208.0,0.571,99.0,173,29,16.76,4.59 (3.85-5.33),144,83.24,3.68 (3.36-4.00)
oligodendrocytes 0,546.0,0.289,88.0,252,12,4.76,1.73 (0.83-2.63),240,95.24,4.25 (4.01-4.49)
microglia 1,406.0,0.189,52.0,278,4,1.44,3.83 (3.79-3.88),274,98.56,4.37 (4.10-4.65)
oligodendrocytes 3,303.0,0.269,93.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.394,82.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
