tipo_celular,module_size,SOCS7_MM,SOCS7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.084,13.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285.0,0.123,30.0,353,20,5.67,3.02 (2.02-4.01),333,94.33,3.96 (3.77-4.14)
GABA neurons expressing GLU receptors 22,203.0,0.268,53.0,12,1,8.33,NA,11,91.67,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.138,53.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.113,36.0,133,6,4.51,1.36 (0.25-2.48),127,95.49,3.34 (3.03-3.66)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,322.0,0.051,15.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2090.0,0.154,50.0,74,1,1.35,NA,73,98.65,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.075,43.0,66,4,6.06,2.06 (0.36-3.76),62,93.94,3.31 (2.89-3.74)
oligodendrocyte progenitor cells 12,3303.0,0.033,3.0,276,19,6.88,3.55 (2.61-4.49),257,93.12,3.54 (3.32-3.76)
oligodendrocytes 10,2107.0,0.035,2.0,358,15,4.19,1.98 (1.13-2.83),343,95.81,3.97 (3.78-4.16)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338.0,0.232,90.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,90.0,0.338,95.0,2,1,50.0,1.71 (NA-NA),1,50.0,0.94 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,126.0,0.332,58.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807.0,0.153,66.0,104,9,8.65,1.27 (0.68-1.86),95,91.35,3.03 (2.74-3.31)
oligodendrocytes 0,2078.0,0.09,10.0,238,2,0.84,1.69 (-1.22-4.60),236,99.16,3.66 (3.44-3.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.048,5.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
