tipo_celular,module_size,ASPSCR1_MM,ASPSCR1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.077,8.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.115,22.0,353,37,10.48,2.13 (1.73-2.53),316,89.52,4.17 (3.98-4.35)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,1247.0,0.133,50.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.147,61.0,133,19,14.29,1.64 (1.16-2.13),114,85.71,3.58 (3.25-3.91)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.043,9.0,169,12,7.1,2.72 (1.96-3.48),157,92.9,3.55 (3.33-3.78)
GABA like neurons 14,2090.0,0.215,85.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.076,44.0,66,14,21.21,1.48 (0.91-2.05),52,78.79,3.79 (3.40-4.19)
oligodendrocyte progenitor cells 12,3303.0,0.042,9.0,276,32,11.59,2.34 (1.98-2.70),244,88.41,3.76 (3.52-3.99)
oligodendrocytes 10,1277.0,0.055,14.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,268.0,0.054,26.0,10,5,50.0,2.54 (1.92-3.15),5,50.0,4.38 (1.80-6.97)
oligodendrocytes 16,94.0,0.409,100.0,5,1,20.0,3.65 (NA-NA),4,80.0,2.64 (1.13-4.14)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.255,11.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,1807.0,0.15,60.0,104,18,17.31,2.02 (1.47-2.58),86,82.69,3.06 (2.75-3.36)
oligodendrocytes 0,2078.0,0.066,1.0,238,9,3.78,2.74 (1.97-3.51),229,96.22,3.68 (3.45-3.90)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,187.0,0.04,1.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.117,10.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
