tipo_celular,module_size,STRADB_MM,STRADB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.155,96.0,136,2,1.47,3.07 (0.90-5.23),134,98.53,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,41,11.61,2.51 (2.01-3.00),312,88.39,4.13 (3.95-4.32)
GABA neurons expressing GLU receptors 22,567.0,0.145,28.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,132.0,0.196,42.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.258,85.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.229,50.0,455,27,5.93,2.24 (1.62-2.87),428,94.07,4.52 (4.34-4.70)
astrocytes 8,603.0,0.08,52.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,708.0,0.374,91.0,32,10,31.25,1.91 (0.92-2.90),22,68.75,3.99 (3.00-4.98)
oligodendrocytes 10,483.0,0.086,34.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.118,77.0,105,20,19.05,2.63 (1.89-3.38),85,80.95,3.36 (2.99-3.73)
oligodendrocytes 16,116.0,0.282,91.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.394,86.0,3,0,0.0,NA,3,100.0,1.85 (0.77-2.94)
astrocytes 4,1807.0,0.15,61.0,104,16,15.38,1.79 (1.18-2.40),88,84.62,3.08 (2.78-3.37)
oligodendrocytes 0,2078.0,0.109,40.0,238,13,5.46,3.28 (2.53-4.02),225,94.54,3.66 (3.43-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,854.0,0.069,24.0,76,5,6.58,3.08 (1.53-4.62),71,93.42,2.76 (2.42-3.09)
oligodendrocytes 2,1630.0,0.135,34.0,154,1,0.65,2.71 (NA-NA),153,99.35,3.25 (2.98-3.52)
