tipo_celular,module_size,NDUFB2_MM,NDUFB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.213,51.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506.0,0.136,28.0,225,37,16.44,3.50 (3.13-3.86),188,83.56,3.64 (3.34-3.94)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628.0,0.156,44.0,164,31,18.9,4.01 (3.50-4.51),133,81.1,4.11 (3.71-4.50)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.246,69.0,410,77,18.78,3.85 (3.59-4.10),333,81.22,4.38 (4.14-4.61)
GABA neurons expressing GABA receptors 13,417.0,0.204,73.0,213,86,40.38,3.42 (3.10-3.75),127,59.62,4.09 (3.73-4.45)
endothelial cells 9,916.0,0.448,89.0,302,67,22.19,3.89 (3.57-4.21),235,77.81,4.02 (3.73-4.31)
oligodendrocytes 20,938.0,0.302,95.0,169,54,31.95,3.63 (3.34-3.91),115,68.05,3.40 (3.09-3.70)
GABA like neurons 14,2402.0,0.594,95.0,455,79,17.36,3.55 (3.20-3.89),376,82.64,4.57 (4.36-4.78)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.225,87.0,235,52,22.13,4.00 (3.71-4.29),183,77.87,3.76 (3.47-4.06)
oligodendrocytes 10,735.0,0.132,69.0,277,20,7.22,3.97 (3.88-4.06),257,92.78,3.89 (3.62-4.15)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,96.0,0.19,30.0,102,43,42.16,3.40 (3.01-3.79),59,57.84,3.28 (2.74-3.83)
da neurons 6,729.0,0.281,93.0,182,24,13.19,4.24 (3.54-4.95),158,86.81,3.53 (3.27-3.80)
astrocytes microglia 23,157.0,0.361,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.21,69.0,252,68,26.98,3.39 (3.03-3.76),184,73.02,4.45 (4.14-4.76)
microglia 1,406.0,0.139,32.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.22,79.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.431,87.0,213,60,28.17,4.10 (3.84-4.37),153,71.83,3.92 (3.53-4.31)
