tipo_celular,module_size,NUP88_MM,NUP88_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.204,73.0,97,1,1.03,5.72 (NA-NA),96,98.97,3.02 (2.63-3.41)
T cells 18,477.0,0.146,39.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656.0,0.109,39.0,136,6,4.41,2.85 (1.57-4.12),130,95.59,3.23 (2.95-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.14,57.0,353,59,16.71,3.10 (2.60-3.59),294,83.29,4.09 (3.91-4.28)
GABA neurons expressing GLU receptors 22,703.0,0.193,56.0,23,2,8.7,1.50 (0.87-2.12),21,91.3,2.15 (1.37-2.93)
GLU like neurons 17,1247.0,0.143,57.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,853.0,0.136,54.0,133,20,15.04,1.71 (1.21-2.20),113,84.96,3.59 (3.26-3.92)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.105,32.0,297,10,3.37,5.40 (4.71-6.09),287,96.63,3.60 (3.40-3.81)
oligodendrocytes 20,938.0,0.101,38.0,169,16,9.47,2.86 (2.10-3.61),153,90.53,3.56 (3.34-3.79)
GABA like neurons 14,3052.0,0.091,13.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60)
astrocytes 8,1266.0,0.064,30.0,66,15,22.73,1.66 (1.07-2.25),51,77.27,3.78 (3.37-4.20)
oligodendrocyte progenitor cells 12,3303.0,0.039,7.0,276,38,13.77,2.70 (2.26-3.13),238,86.23,3.70 (3.47-3.94)
oligodendrocytes 10,2107.0,0.107,32.0,358,55,15.36,3.10 (2.56-3.64),303,84.64,4.04 (3.85-4.24)
connective tissue cells 21,111.0,0.362,86.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.032,11.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,123.0,0.238,69.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,83.0,0.337,72.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.133,19.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.115,51.0,238,21,8.82,4.69 (3.89-5.49),217,91.18,3.53 (3.31-3.76)
microglia 1,958.0,0.102,36.0,290,29,10.0,4.46 (3.88-5.03),261,90.0,3.73 (3.49-3.98)
oligodendrocytes 3,854.0,0.057,12.0,76,5,6.58,3.49 (1.87-5.11),71,93.42,2.72 (2.39-3.06)
oligodendrocytes 2,1630.0,0.159,84.0,154,3,1.95,4.21 (1.82-6.59),151,98.05,3.22 (2.96-3.49)
