tipo_celular,module_size,MDFIC_MM,MDFIC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,388.0,0.421,99.0,84,9,10.71,2.64 (2.25-3.03),75,89.29,3.02 (2.65-3.38)
astrocytes 5,499.0,0.183,65.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.1,27.0,297,2,0.67,4.52 (4.52-4.52),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,283.0,0.157,61.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,116.0,0.275,43.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1401.0,0.047,15.0,96,10,10.42,3.51 (2.12-4.89),86,89.58,3.62 (3.15-4.10)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,96.0,0.432,93.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,514.0,0.116,8.0,95,9,9.47,3.30 (1.36-5.23),86,90.53,3.38 (2.96-3.79)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
