tipo_celular,module_size,CACNA1A_MM,CACNA1A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.085,7.0,140,6,4.29,2.55 (1.94-3.15),134,95.71,4.66 (4.38-4.94)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,436.0,0.157,68.0,219,43,19.63,4.55 (4.16-4.94),176,80.37,5.45 (5.10-5.81)
GABA neurons expressing GLU receptors 22,459.0,0.184,61.0,165,38,23.03,3.58 (3.18-3.98),127,76.97,5.72 (5.33-6.11)
GLU like neurons 17,1247.0,0.335,99.0,51,4,7.84,3.77 (1.81-5.74),47,92.16,3.61 (3.00-4.22)
da like neurons 11,853.0,0.38,100.0,133,6,4.51,0.54 (0.27-0.81),127,95.49,3.41 (3.10-3.71)
GABA neurons expressing GABA receptors 13,357.0,0.108,20.0,237,3,1.27,3.37 (2.69-4.06),234,98.73,4.43 (4.19-4.66)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.454,100.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,411.0,0.404,89.0,103,17,16.5,4.82 (4.19-5.44),86,83.5,5.73 (5.28-6.18)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.348,80.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.138,76.0,122,24,19.67,3.19 (2.18-4.20),98,80.33,4.25 (3.86-4.64)
astrocytes microglia 23,101.0,0.192,6.0,6,0,0.0,NA,6,100.0,4.26 (2.94-5.59)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,315.0,0.118,21.0,144,3,2.08,3.77 (1.30-6.24),141,97.92,4.48 (4.17-4.79)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
