tipo_celular,module_size,S100A6_MM,S100A6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,506.0,0.436,90.0,225,15,6.67,2.32 (1.60-3.04),210,93.33,3.70 (3.44-3.95)
astrocytes 5,328.0,0.475,97.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448.0,0.213,80.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.236,67.0,410,11,2.68,2.72 (1.62-3.82),399,97.32,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,417.0,0.166,55.0,213,19,8.92,1.50 (0.82-2.19),194,91.08,3.98 (3.75-4.22)
endothelial cells 9,916.0,0.465,89.0,302,8,2.65,2.37 (1.43-3.32),294,97.35,4.04 (3.81-4.27)
oligodendrocytes 20,938.0,0.417,99.0,169,12,7.1,2.28 (1.26-3.30),157,92.9,3.55 (3.33-3.77)
GABA like neurons 14,2402.0,0.565,93.0,455,18,3.96,1.77 (0.96-2.57),437,96.04,4.46 (4.27-4.64)
astrocytes 8,603.0,0.27,95.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049.0,0.25,88.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07)
oligodendrocytes 10,483.0,0.286,81.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301.0,0.57,90.0,158,9,5.7,3.52 (2.36-4.68),149,94.3,4.30 (3.92-4.69)
astrocytes 15,1401.0,0.125,79.0,96,5,5.21,3.26 (2.19-4.34),91,94.79,3.64 (3.16-4.11)
oligodendrocytes 16,151.0,0.14,14.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,729.0,0.307,96.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,41.0,0.438,88.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,208.0,0.232,67.0,173,4,2.31,4.78 (NA-NA),169,97.69,3.79 (3.49-4.09)
oligodendrocytes 0,546.0,0.288,87.0,252,19,7.54,1.74 (1.03-2.46),233,92.46,4.29 (4.05-4.53)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.308,97.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.537,96.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
