tipo_celular,module_size,ATL2_MM,ATL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.087,7.0,97,5,5.15,3.52 (3.03-4.01),92,94.85,3.02 (2.61-3.44)
T cells 18,624.0,0.129,30.0,142,1,0.7,6.89 (NA-NA),141,99.3,3.18 (2.92-3.44)
astrocytes 5,1656.0,0.128,70.0,136,6,4.41,3.34 (2.51-4.17),130,95.59,3.20 (2.92-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.174,95.0,353,27,7.65,2.11 (1.53-2.68),326,92.35,4.09 (3.90-4.27)
GABA neurons expressing GLU receptors 22,823.0,0.102,9.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.142,56.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,102.0,0.287,62.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.162,44.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.183,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,218.0,0.057,31.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303.0,0.056,22.0,276,17,6.16,2.89 (2.19-3.59),259,93.84,3.60 (3.37-3.82)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,86.0,0.236,25.0,7,0,0.0,NA,7,100.0,3.20 (2.46-3.95)
astrocytes 15,1768.0,0.087,50.0,105,13,12.38,2.22 (1.56-2.89),92,87.62,3.37 (3.00-3.73)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,99.0,0.218,12.0,3,1,33.33,1.74 (NA-NA),2,66.67,1.91 (0.04-3.78)
astrocytes 4,787.0,0.18,94.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.135,21.0,163,3,1.84,3.22 (3.22-3.22),160,98.16,3.72 (3.45-3.98)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
