tipo_celular,module_size,TUBB2B_MM,TUBB2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.247,77.0,128,1,0.78,2.97 (NA-NA),127,99.22,3.57 (3.23-3.92)
oligodendrocyte progenitor cells 7,628.0,0.38,96.0,164,2,1.22,4.61 (4.14-5.08),162,98.78,4.08 (3.74-4.41)
GABA neurons expressing GLU receptors 22,848.0,0.127,14.0,262,39,14.89,4.42 (3.63-5.22),223,85.11,4.10 (3.85-4.34)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.433,95.0,410,15,3.66,3.30 (2.46-4.13),395,96.34,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417.0,0.207,75.0,213,12,5.63,1.08 (0.56-1.60),201,94.37,3.97 (3.74-4.20)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.395,99.0,169,5,2.96,1.36 (0.14-2.59),164,97.04,3.54 (3.33-3.76)
GABA like neurons 14,2402.0,0.57,94.0,455,17,3.74,1.58 (0.87-2.28),438,96.26,4.46 (4.28-4.65)
astrocytes 8,603.0,0.272,96.0,89,2,2.25,2.10 (0.40-3.80),87,97.75,2.78 (2.42-3.14)
oligodendrocyte progenitor cells 12,1049.0,0.346,94.0,235,1,0.43,2.97 (NA-NA),234,99.57,3.83 (3.59-4.06)
oligodendrocytes 10,806.0,0.343,85.0,261,35,13.41,5.11 (4.49-5.72),226,86.59,4.22 (3.96-4.48)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.131,84.0,105,7,6.67,1.23 (0.74-1.71),98,93.33,3.37 (3.03-3.71)
oligodendrocytes 16,65.0,0.238,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.17,71.0,235,10,4.26,3.30 (1.90-4.71),225,95.74,4.00 (3.75-4.26)
astrocytes microglia 23,70.0,0.378,67.0,76,12,15.79,4.85 (4.49-5.22),64,84.21,3.99 (3.33-4.65)
astrocytes 4,208.0,0.34,86.0,173,2,1.16,2.97 (NA-NA),171,98.84,3.80 (3.50-4.11)
oligodendrocytes 0,116.0,0.16,51.0,169,8,4.73,4.28 (3.31-5.25),161,95.27,4.28 (3.96-4.59)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.196,81.0,345,22,6.38,3.45 (2.94-3.96),323,93.62,4.35 (4.13-4.57)
oligodendrocytes 2,526.0,0.561,97.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
