tipo_celular,module_size,MBD4_MM,MBD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.179,67.0,35,1,2.86,NA,34,97.14,3.74 (2.80-4.69)
T cells 18,610.0,0.146,46.0,98,24,24.49,1.67 (1.20-2.14),74,75.51,3.60 (3.28-3.92)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.109,16.0,353,33,9.35,1.97 (1.48-2.47),320,90.65,4.13 (3.95-4.31)
GABA neurons expressing GLU receptors 22,192.0,0.096,24.0,55,2,3.64,1.43 (NA-NA),53,96.36,4.08 (3.67-4.49)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,559.0,0.061,6.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,253.0,0.322,91.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052.0,0.14,52.0,125,4,3.2,3.60 (2.58-4.63),121,96.8,3.34 (3.01-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.05,15.0,276,28,10.14,2.50 (2.04-2.97),248,89.86,3.69 (3.46-3.93)
oligodendrocytes 10,2107.0,0.085,21.0,358,34,9.5,1.99 (1.51-2.47),324,90.5,4.11 (3.92-4.30)
connective tissue cells 21,111.0,0.369,88.0,26,1,3.85,2.53 (NA-NA),25,96.15,2.52 (1.83-3.22)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,74.0,0.24,83.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,116.0,0.373,86.0,2,0,0.0,NA,2,100.0,2.06 (0.32-3.80)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,2078.0,0.104,28.0,238,9,3.78,2.97 (1.92-4.02),229,96.22,3.67 (3.44-3.89)
microglia 1,346.0,0.116,27.0,43,1,2.33,6.89 (NA-NA),42,97.67,3.68 (3.19-4.17)
oligodendrocytes 3,357.0,0.069,29.0,127,3,2.36,2.65 (2.03-3.27),124,97.64,3.13 (2.79-3.47)
oligodendrocytes 2,1630.0,0.148,64.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51)
