tipo_celular,module_size,ZSWIM7_MM,ZSWIM7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.245,71.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282.0,0.059,3.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656.0,0.111,42.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.101,10.0,353,14,3.97,1.80 (1.17-2.42),339,96.03,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.081,7.0,410,4,0.98,2.92 (0.37-5.47),406,99.02,4.27 (4.08-4.45)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.12,27.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,348.0,0.03,5.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2402.0,0.208,44.0,455,8,1.76,2.16 (0.78-3.53),447,98.24,4.40 (4.21-4.58)
astrocytes 8,1266.0,0.059,24.0,66,1,1.52,0.21 (NA-NA),65,98.48,3.28 (2.87-3.69)
oligodendrocyte progenitor cells 12,1049.0,0.066,30.0,235,2,0.85,5.17 (5.12-5.21),233,99.15,3.81 (3.57-4.04)
oligodendrocytes 10,1277.0,0.082,32.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,111.0,0.31,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.101,64.0,105,8,7.62,1.13 (0.55-1.71),97,92.38,3.40 (3.06-3.73)
oligodendrocytes 16,156.0,0.276,87.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,39.0,0.382,61.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.145,51.0,104,10,9.62,1.20 (0.73-1.67),94,90.38,3.06 (2.77-3.34)
oligodendrocytes 0,2078.0,0.092,12.0,238,5,2.1,2.15 (1.01-3.28),233,97.9,3.67 (3.45-3.90)
microglia 1,1615.0,0.075,6.0,161,16,9.94,2.27 (1.44-3.10),145,90.06,3.41 (3.14-3.69)
oligodendrocytes 3,681.0,0.049,7.0,87,10,11.49,1.48 (0.95-2.02),77,88.51,2.74 (2.46-3.02)
oligodendrocytes 2,1630.0,0.118,11.0,154,1,0.65,3.22 (NA-NA),153,99.35,3.24 (2.98-3.51)
