tipo_celular,module_size,SLAIN2_MM,SLAIN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.232,66.0,17,1,5.88,NA,16,94.12,1.90 (1.29-2.52)
T cells 18,282.0,0.165,39.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1141.0,0.117,30.0,166,10,6.02,2.33 (1.16-3.49),156,93.98,3.46 (3.20-3.71)
oligodendrocyte progenitor cells 7,4285.0,0.163,88.0,353,19,5.38,1.83 (1.20-2.46),334,94.62,4.03 (3.84-4.21)
GABA neurons expressing GLU receptors 22,823.0,0.241,84.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.076,11.0,91,19,20.88,2.78 (1.88-3.69),72,79.12,5.18 (4.65-5.71)
da like neurons 11,153.0,0.252,52.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.11,36.0,297,4,1.35,4.68 (2.94-6.43),293,98.65,3.66 (3.46-3.87)
oligodendrocytes 20,348.0,0.27,86.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.107,23.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,727.0,0.14,69.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.103,77.0,276,14,5.07,2.41 (1.57-3.25),262,94.93,3.61 (3.39-3.83)
oligodendrocytes 10,2107.0,0.214,73.0,358,21,5.87,1.39 (0.98-1.80),337,94.13,4.05 (3.87-4.24)
connective tissue cells 21,95.0,0.261,39.0,4,0,0.0,NA,4,100.0,3.47 (2.36-4.59)
astrocytes 15,1401.0,0.059,25.0,96,15,15.62,3.59 (2.86-4.32),81,84.38,3.62 (3.09-4.15)
oligodendrocytes 16,113.0,0.147,26.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,118.0,0.266,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.179,92.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,2078.0,0.128,79.0,238,3,1.26,1.22 (-0.77-3.20),235,98.74,3.66 (3.44-3.88)
microglia 1,958.0,0.12,63.0,290,14,4.83,2.13 (1.59-2.67),276,95.17,3.92 (3.69-4.16)
oligodendrocytes 3,1003.0,0.075,27.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.101,3.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
