tipo_celular,module_size,HPCAL1_MM,HPCAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211.0,0.104,13.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610.0,0.156,55.0,98,1,1.02,1.95 (NA-NA),97,98.98,3.13 (2.81-3.45)
astrocytes 5,932.0,0.14,85.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.132,45.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,848.0,0.231,58.0,262,1,0.38,0.55 (NA-NA),261,99.62,4.18 (3.93-4.42)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,61.0,0.255,39.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,200.0,0.328,99.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,658.0,0.189,45.0,120,0,0.0,NA,120,100.0,4.61 (4.29-4.92)
oligodendrocytes 20,403.0,0.137,56.0,18,0,0.0,NA,18,100.0,1.88 (1.20-2.56)
GABA like neurons 14,2402.0,0.308,67.0,455,1,0.22,0.55 (NA-NA),454,99.78,4.35 (4.17-4.54)
astrocytes 8,577.0,0.083,49.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303.0,0.059,25.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,735.0,0.109,58.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,91.0,0.452,100.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401.0,0.085,49.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,92.0,0.195,38.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729.0,0.135,40.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,70.0,0.26,21.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,721.0,0.138,25.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.071,2.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,346.0,0.195,74.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,242.0,0.068,11.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,1630.0,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
