tipo_celular,module_size,CPXM2_MM,CPXM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.112,16.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.201,59.0,36,3,8.33,1.29 (1.01-1.57),33,91.67,1.98 (1.61-2.36)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,1266.0,0.085,54.0,66,2,3.03,1.71 (-1.24-4.67),64,96.97,3.28 (2.86-3.70)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.141,70.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.1,64.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91.0,0.251,80.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.301,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.111,4.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,117.0,0.087,6.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,242.0,0.269,93.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347.0,0.207,57.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
