tipo_celular,module_size,FAM110B_MM,FAM110B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360.0,0.331,88.0,102,3,2.94,2.14 (0.67-3.61),99,97.06,3.54 (3.17-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.113,25.0,166,2,1.2,0.55 (0.54-0.55),164,98.8,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,436.0,0.115,40.0,219,0,0.0,NA,219,100.0,5.21 (4.92-5.50)
GABA neurons expressing GLU receptors 22,203.0,0.187,18.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1316.0,0.137,62.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,197.0,0.342,85.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,586.0,0.34,73.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.185,85.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727.0,0.115,55.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,254.0,0.45,91.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,91.0,0.289,50.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,377.0,0.191,77.0,14,3,21.43,0.49 (0.40-0.58),11,78.57,2.84 (1.34-4.34)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,327.0,0.408,79.0,120,5,4.17,1.42 (0.23-2.60),115,95.83,3.73 (3.44-4.03)
astrocytes 4,752.0,0.12,10.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,480.0,0.323,89.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
