tipo_celular,module_size,CD164_MM,CD164_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249.0,0.163,58.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,506.0,0.167,44.0,225,9,4.0,2.46 (1.84-3.08),216,96.0,3.68 (3.42-3.94)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.137,52.0,353,13,3.68,1.28 (0.67-1.89),340,96.32,4.02 (3.84-4.20)
GABA neurons expressing GLU receptors 22,487.0,0.247,62.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.166,45.0,410,9,2.2,3.09 (2.36-3.82),401,97.8,4.28 (4.09-4.47)
GABA neurons expressing GABA receptors 13,86.0,0.147,33.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,385.0,0.092,38.0,275,10,3.64,1.08 (0.49-1.67),265,96.36,4.11 (3.86-4.37)
oligodendrocytes 20,938.0,0.12,48.0,169,8,4.73,2.49 (1.53-3.46),161,95.27,3.54 (3.32-3.76)
GABA like neurons 14,2402.0,0.228,50.0,455,15,3.3,2.06 (1.27-2.85),440,96.7,4.45 (4.27-4.63)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.061,19.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735.0,0.156,78.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,139.0,0.238,23.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,51.0,0.228,40.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,518.0,0.12,59.0,122,11,9.02,1.60 (0.90-2.31),111,90.98,4.31 (3.92-4.70)
astrocytes microglia 23,46.0,0.386,76.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.156,63.0,127,1,0.79,2.74 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,406.0,0.128,28.0,278,1,0.36,3.18 (NA-NA),277,99.64,4.37 (4.09-4.64)
oligodendrocytes 3,242.0,0.085,21.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,528.0,0.254,74.0,175,8,4.57,3.29 (2.67-3.91),167,95.43,4.46 (4.09-4.83)
