tipo_celular,module_size,MDH2_MM,MDH2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,848.0,0.17,32.0,262,12,4.58,2.18 (1.04-3.32),250,95.42,4.25 (4.00-4.49)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.282,77.0,410,16,3.9,3.17 (2.57-3.77),394,96.1,4.29 (4.10-4.49)
GABA neurons expressing GABA receptors 13,90.0,0.165,50.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,916.0,0.13,25.0,302,11,3.64,3.10 (2.40-3.81),291,96.36,4.03 (3.79-4.26)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.381,77.0,455,31,6.81,2.03 (1.52-2.53),424,93.19,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,409.0,0.19,76.0,235,26,11.06,3.24 (2.60-3.87),209,88.94,4.07 (3.81-4.34)
astrocytes microglia 23,111.0,0.411,96.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
