tipo_celular,module_size,SHISA9_MM,SHISA9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,322.0,0.298,88.0,58,4,6.9,2.60 (1.41-3.78),54,93.1,4.31 (3.88-4.74)
oligodendrocyte progenitor cells 7,666.0,0.026,1.0,127,10,7.87,2.65 (1.77-3.53),117,92.13,3.99 (3.64-4.34)
GABA neurons expressing GLU receptors 22,714.0,0.3,91.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,795.0,0.14,54.0,80,6,7.5,3.86 (3.03-4.69),74,92.5,5.90 (5.48-6.31)
da like neurons 11,215.0,0.444,97.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,288.0,0.104,12.0,93,21,22.58,4.12 (2.96-5.28),72,77.42,5.40 (4.87-5.93)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.249,69.0,306,48,15.69,4.19 (3.58-4.81),258,84.31,5.29 (5.01-5.57)
astrocytes 8,1266.0,0.143,86.0,66,4,6.06,1.28 (-0.20-2.76),62,93.94,3.37 (2.96-3.79)
oligodendrocyte progenitor cells 12,254.0,0.186,28.0,37,11,29.73,3.88 (2.96-4.79),26,70.27,4.79 (4.08-5.51)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.1,63.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.258,48.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,161.0,0.35,96.0,45,9,20.0,5.70 (5.32-6.08),36,80.0,5.24 (4.54-5.93)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
