tipo_celular,module_size,GPATCH8_MM,GPATCH8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.106,15.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,349.0,0.145,36.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,932.0,0.109,50.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,448.0,0.175,74.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,203.0,0.098,3.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,1247.0,0.218,88.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.266,95.0,133,7,5.26,0.83 (0.48-1.18),126,94.74,3.41 (3.11-3.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.182,84.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676.0,0.105,34.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300.0,0.253,71.0,306,1,0.33,1.95 (NA-NA),305,99.67,5.11 (4.84-5.37)
astrocytes 8,1266.0,0.134,83.0,66,5,7.58,0.61 (0.32-0.89),61,92.42,3.48 (3.08-3.87)
oligodendrocyte progenitor cells 12,153.0,0.461,74.0,27,0,0.0,NA,27,100.0,4.76 (3.76-5.76)
oligodendrocytes 10,130.0,0.337,35.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,106.0,0.234,22.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,443.0,0.099,12.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,105.0,0.139,7.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,141.0,0.23,39.0,30,0,0.0,NA,30,100.0,5.66 (4.78-6.55)
astrocytes 4,752.0,0.114,6.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.155,67.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615.0,0.106,44.0,161,10,6.21,0.86 (0.50-1.22),151,93.79,3.47 (3.21-3.73)
oligodendrocytes 3,1003.0,0.118,70.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,407.0,0.199,85.0,122,10,8.2,0.86 (0.50-1.22),112,91.8,3.62 (3.23-4.00)
