tipo_celular,module_size,ACAA1_MM,ACAA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.061,2.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,282.0,0.233,85.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,328.0,0.119,25.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628.0,0.15,40.0,164,7,4.27,3.22 (2.16-4.28),157,95.73,4.12 (3.79-4.46)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,168.0,0.101,34.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.18,74.0,169,14,8.28,2.70 (1.75-3.65),155,91.72,3.53 (3.31-3.76)
GABA like neurons 14,2402.0,0.243,54.0,455,24,5.27,1.88 (1.27-2.50),431,94.73,4.49 (4.31-4.67)
astrocytes 8,603.0,0.13,77.0,89,2,2.25,0.88 (0.76-1.00),87,97.75,2.82 (2.47-3.17)
oligodendrocyte progenitor cells 12,1049.0,0.105,58.0,235,8,3.4,3.21 (2.35-4.08),227,96.6,3.84 (3.61-4.08)
oligodendrocytes 10,735.0,0.109,59.0,277,5,1.81,3.95 (2.92-4.98),272,98.19,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.119,78.0,105,12,11.43,1.84 (1.29-2.39),93,88.57,3.41 (3.05-3.76)
oligodendrocytes 16,153.0,0.043,0.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,409.0,0.138,57.0,235,21,8.94,3.55 (2.64-4.46),214,91.06,4.01 (3.75-4.27)
astrocytes microglia 23,110.0,0.312,50.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208.0,0.159,29.0,173,6,3.47,3.72 (NA-NA),167,96.53,3.80 (3.50-4.10)
oligodendrocytes 0,546.0,0.119,20.0,252,27,10.71,1.94 (1.38-2.49),225,89.29,4.37 (4.13-4.62)
microglia 1,406.0,0.069,3.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303.0,0.06,8.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.248,46.0,213,1,0.47,4.47 (NA-NA),212,99.53,3.98 (3.70-4.25)
