tipo_celular,module_size,CLYBL_MM,CLYBL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500.0,0.118,19.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610.0,0.171,64.0,98,4,4.08,1.39 (0.31-2.46),94,95.92,3.20 (2.88-3.52)
astrocytes 5,156.0,0.209,81.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,567.0,0.138,23.0,16,0,0.0,NA,16,100.0,1.97 (1.30-2.64)
GLU like neurons 17,1247.0,0.125,43.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,197.0,0.088,7.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.149,39.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,3052.0,0.109,24.0,125,1,0.8,3.56 (NA-NA),124,99.2,3.35 (3.02-3.68)
astrocytes 8,218.0,0.188,77.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.191,9.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,367.0,0.207,85.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,61.0,0.208,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.236,72.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.103,39.0,161,7,4.35,1.74 (0.81-2.67),154,95.65,3.36 (3.09-3.63)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
