tipo_celular,module_size,HMGCR_MM,HMGCR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.146,67.0,353,49,13.88,2.38 (1.97-2.79),304,86.12,4.19 (4.00-4.37)
GABA neurons expressing GLU receptors 22,848.0,0.207,48.0,262,29,11.07,3.48 (2.85-4.10),233,88.93,4.28 (4.02-4.55)
GLU like neurons 17,380.0,0.244,90.0,39,5,12.82,3.03 (2.11-3.95),34,87.18,2.96 (2.33-3.58)
da like neurons 11,137.0,0.23,37.0,2,1,50.0,5.16 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,200.0,0.162,57.0,34,1,2.94,3.68 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.209,45.0,455,40,8.79,3.12 (2.52-3.72),415,91.21,4.51 (4.32-4.70)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.102,47.0,32,14,43.75,2.04 (1.33-2.74),18,56.25,4.45 (3.29-5.62)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,518.0,0.174,88.0,122,34,27.87,2.66 (2.27-3.06),88,72.13,4.75 (4.27-5.23)
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
