tipo_celular,module_size,ZBTB25_MM,ZBTB25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.082,6.0,71,4,5.63,1.32 (0.53-2.12),67,94.37,2.71 (2.29-3.14)
T cells 18,282.0,0.129,35.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656.0,0.137,83.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.166,91.0,353,47,13.31,1.99 (1.69-2.29),306,86.69,4.29 (4.11-4.46)
GABA neurons expressing GLU receptors 22,703.0,0.243,81.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1316.0,0.115,43.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,97.0,0.073,11.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,330.0,0.348,93.0,36,16,44.44,2.06 (1.76-2.36),20,55.56,1.79 (1.19-2.40)
GABA like neurons 14,2402.0,0.022,1.0,455,19,4.18,1.35 (0.92-1.77),436,95.82,4.53 (4.35-4.70)
astrocytes 8,603.0,0.052,24.0,89,8,8.99,1.22 (1.03-1.40),81,91.01,2.98 (2.61-3.34)
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,35,12.68,1.89 (1.65-2.13),241,87.32,3.87 (3.64-4.10)
oligodendrocytes 10,2107.0,0.069,13.0,358,55,15.36,2.12 (1.80-2.43),303,84.64,4.32 (4.13-4.50)
connective tissue cells 21,102.0,0.309,63.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,1401.0,0.029,3.0,96,2,2.08,2.76 (0.97-4.55),94,97.92,3.63 (3.18-4.09)
oligodendrocytes 16,88.0,0.193,46.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.333,69.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.156,71.0,104,23,22.12,1.61 (1.27-1.94),81,77.88,3.26 (2.96-3.56)
oligodendrocytes 0,2078.0,0.138,92.0,238,11,4.62,2.39 (1.82-2.97),227,95.38,3.71 (3.48-3.93)
microglia 1,480.0,0.142,25.0,163,2,1.23,3.18 (2.39-3.98),161,98.77,3.72 (3.45-3.98)
oligodendrocytes 3,1003.0,0.069,20.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.137,41.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
