tipo_celular,module_size,NSFL1C_MM,NSFL1C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.208,75.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.095,20.0,136,4,2.94,2.73 (1.22-4.24),132,97.06,3.22 (2.94-3.49)
oligodendrocyte progenitor cells 7,4285.0,0.138,55.0,353,54,15.3,2.81 (2.33-3.28),299,84.7,4.13 (3.94-4.32)
GABA neurons expressing GLU receptors 22,1069.0,0.127,22.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316.0,0.138,63.0,101,8,7.92,4.30 (3.19-5.42),93,92.08,2.95 (2.59-3.31)
da like neurons 11,1220.0,0.119,24.0,410,29,7.07,3.83 (3.25-4.41),381,92.93,4.29 (4.10-4.49)
GABA neurons expressing GABA receptors 13,288.0,0.132,27.0,93,5,5.38,1.80 (0.41-3.20),88,94.62,5.40 (4.93-5.87)
endothelial cells 9,303.0,0.031,1.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,295.0,0.185,50.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.128,17.0,455,42,9.23,3.11 (2.54-3.68),413,90.77,4.52 (4.33-4.71)
astrocytes 8,520.0,0.04,7.0,288,33,11.46,3.87 (3.35-4.38),255,88.54,4.23 (4.01-4.44)
oligodendrocyte progenitor cells 12,708.0,0.02,1.0,32,16,50.0,2.61 (1.54-3.67),16,50.0,4.09 (2.98-5.21)
oligodendrocytes 10,735.0,0.073,32.0,277,2,0.72,6.49 (NA-NA),275,99.28,3.88 (3.64-4.12)
connective tissue cells 21,101.0,0.319,71.0,1,1,100.0,8.28 (NA-NA),0,0.0,NA
astrocytes 15,1768.0,0.019,1.0,105,30,28.57,2.98 (2.35-3.60),75,71.43,3.32 (2.92-3.71)
oligodendrocytes 16,90.0,0.201,43.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,448.0,0.092,38.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,51.0,0.254,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.158,75.0,104,20,19.23,2.16 (1.43-2.89),84,80.77,3.01 (2.72-3.31)
oligodendrocytes 0,2078.0,0.111,43.0,238,16,6.72,4.37 (3.06-5.68),222,93.28,3.59 (3.37-3.81)
microglia 1,813.0,0.112,46.0,79,1,1.27,4.05 (NA-NA),78,98.73,3.09 (2.68-3.49)
oligodendrocytes 3,457.0,0.038,2.0,345,31,8.99,3.90 (3.39-4.41),314,91.01,4.32 (4.10-4.55)
oligodendrocytes 2,1630.0,0.137,39.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
