tipo_celular,module_size,CHCHD6_MM,CHCHD6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.183,71.0,71,3,4.23,1.39 (0.20-2.59),68,95.77,2.69 (2.26-3.11)
T cells 18,624.0,0.173,66.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656.0,0.113,45.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.12,27.0,353,21,5.95,1.59 (1.13-2.05),332,94.05,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,1069.0,0.163,49.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,380.0,0.228,86.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,289.0,0.203,59.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,348.0,0.046,20.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,2090.0,0.227,89.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.136,59.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,708.0,0.045,12.0,32,10,31.25,1.37 (0.66-2.08),22,68.75,4.29 (3.40-5.17)
oligodendrocytes 10,483.0,0.101,43.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,100.0,0.275,42.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.158,93.0,105,9,8.57,1.48 (0.95-2.01),96,91.43,3.39 (3.04-3.73)
oligodendrocytes 16,116.0,0.224,64.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,729.0,0.157,52.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,110.0,0.309,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.136,34.0,104,7,6.73,1.38 (0.55-2.22),97,93.27,2.98 (2.70-3.26)
oligodendrocytes 0,2078.0,0.076,3.0,238,3,1.26,1.82 (0.17-3.48),235,98.74,3.66 (3.44-3.88)
microglia 1,346.0,0.118,28.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,187.0,0.054,10.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630.0,0.115,9.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
