tipo_celular,module_size,WSB2_MM,WSB2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.128,76.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.095,7.0,353,15,4.25,2.43 (1.49-3.38),338,95.75,3.97 (3.78-4.15)
GABA neurons expressing GLU receptors 22,192.0,0.097,25.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1316.0,0.181,89.0,101,1,0.99,3.00 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220.0,0.193,54.0,410,4,0.98,3.61 (2.42-4.80),406,99.02,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,77.0,0.146,36.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,338.0,0.103,33.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,358.0,0.148,48.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402.0,0.236,52.0,455,10,2.2,2.42 (1.20-3.64),445,97.8,4.40 (4.22-4.59)
astrocytes 8,520.0,0.085,33.0,288,2,0.69,3.20 (0.78-5.62),286,99.31,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,3303.0,0.075,45.0,276,11,3.99,2.91 (1.85-3.98),265,96.01,3.57 (3.35-3.79)
oligodendrocytes 10,806.0,0.269,74.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,111.0,0.379,87.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,338.0,0.173,66.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91.0,0.173,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.174,75.0,124,6,4.84,4.25 (3.29-5.21),118,95.16,4.18 (3.77-4.59)
astrocytes microglia 23,95.0,0.261,14.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,787.0,0.132,18.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.106,34.0,238,8,3.36,3.52 (2.21-4.82),230,96.64,3.64 (3.42-3.86)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.045,6.0,345,4,1.16,4.57 (3.62-5.52),341,98.84,4.27 (4.06-4.48)
oligodendrocytes 2,528.0,0.162,25.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
