tipo_celular,module_size,CDKAL1_MM,CDKAL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401.0,0.114,18.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388.0,0.192,69.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,1141.0,0.161,85.0,166,13,7.83,1.49 (1.00-1.99),153,92.17,3.59 (3.34-3.84)
oligodendrocyte progenitor cells 7,448.0,0.09,13.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,714.0,0.108,10.0,17,1,5.88,2.68 (NA-NA),16,94.12,2.28 (1.66-2.91)
GLU like neurons 17,637.0,0.13,38.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,97.0,0.506,99.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.253,98.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,295.0,0.237,69.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71)
GABA like neurons 14,1300.0,0.268,78.0,306,4,1.31,1.53 (0.50-2.56),302,98.69,5.16 (4.90-5.42)
astrocytes 8,262.0,0.271,92.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,153.0,0.402,48.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,130.0,0.392,48.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,101.0,0.174,5.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768.0,0.076,39.0,105,19,18.1,2.09 (1.56-2.61),86,81.9,3.49 (3.11-3.86)
oligodendrocytes 16,153.0,0.166,9.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,91.0,0.269,53.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,752.0,0.178,87.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186.0,0.118,14.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,315.0,0.123,24.0,144,0,0.0,NA,144,100.0,4.46 (4.15-4.77)
oligodendrocytes 3,44.0,0.169,24.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,804.0,0.201,90.0,84,6,7.14,1.70 (0.76-2.64),78,92.86,2.79 (2.44-3.13)
