tipo_celular,module_size,PIGC_MM,PIGC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.118,54.0,136,10,7.35,3.08 (2.16-3.99),126,92.65,3.22 (2.94-3.50)
oligodendrocyte progenitor cells 7,628.0,0.264,85.0,164,7,4.27,3.67 (2.49-4.86),157,95.73,4.11 (3.77-4.45)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.125,22.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295.0,0.138,28.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.085,34.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,1049.0,0.097,53.0,235,7,2.98,4.01 (2.83-5.18),228,97.02,3.82 (3.58-4.05)
oligodendrocytes 10,1277.0,0.063,19.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,110.0,0.393,89.0,13,2,15.38,3.29 (-1.32-7.90),11,84.62,3.08 (2.32-3.85)
astrocytes 15,1768.0,0.078,42.0,105,19,18.1,1.95 (1.42-2.49),86,81.9,3.52 (3.15-3.88)
oligodendrocytes 16,151.0,0.159,27.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,92.0,0.283,31.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,1807.0,0.148,57.0,104,21,20.19,2.14 (1.50-2.78),83,79.81,3.06 (2.77-3.36)
oligodendrocytes 0,86.0,0.29,90.0,2,1,50.0,NA,1,50.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,743.0,0.174,95.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,526.0,0.196,28.0,213,3,1.41,3.79 (3.72-3.87),210,98.59,3.98 (3.70-4.26)
