tipo_celular,module_size,BET1_MM,BET1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.156,48.0,97,2,2.06,2.86 (NA-NA),95,97.94,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285.0,0.096,7.0,353,31,8.78,2.42 (1.84-3.00),322,91.22,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.074,9.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,348.0,0.174,64.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052.0,0.108,24.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.059,24.0,235,6,2.55,3.32 (1.93-4.71),229,97.45,3.84 (3.60-4.07)
oligodendrocytes 10,1277.0,0.031,4.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,100.0,0.252,32.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,155.0,0.326,94.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,57.0,0.411,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,613.0,0.11,15.0,127,4,3.15,3.26 (2.65-3.87),123,96.85,3.04 (2.61-3.47)
microglia 1,1615.0,0.09,22.0,161,17,10.56,1.65 (1.02-2.28),144,89.44,3.51 (3.24-3.78)
oligodendrocytes 3,681.0,0.114,66.0,87,7,8.05,1.70 (0.59-2.82),80,91.95,2.67 (2.39-2.94)
oligodendrocytes 2,1630.0,0.154,76.0,154,1,0.65,5.02 (NA-NA),153,99.35,3.23 (2.97-3.50)
