tipo_celular,module_size,CTNNBIP1_MM,CTNNBIP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.112,54.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.096,8.0,353,43,12.18,1.74 (1.48-2.01),310,87.82,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,1069.0,0.185,64.0,37,5,13.51,2.19 (1.75-2.64),32,86.49,2.15 (1.61-2.69)
GLU like neurons 17,1247.0,0.052,3.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853.0,0.088,16.0,133,35,26.32,1.81 (1.52-2.09),98,73.68,3.90 (3.55-4.25)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.029,8.0,110,10,9.09,2.28 (1.45-3.11),100,90.91,5.35 (4.92-5.77)
GABA like neurons 14,2090.0,0.104,16.0,74,11,14.86,2.10 (1.87-2.33),63,85.14,3.12 (2.68-3.55)
astrocytes 8,1266.0,0.087,57.0,66,17,25.76,1.89 (1.27-2.51),49,74.24,3.79 (3.36-4.23)
oligodendrocyte progenitor cells 12,3303.0,0.041,8.0,276,36,13.04,1.86 (1.63-2.08),240,86.96,3.89 (3.66-4.12)
oligodendrocytes 10,1277.0,0.045,9.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.069,32.0,105,17,16.19,1.55 (1.17-1.93),88,83.81,3.56 (3.21-3.92)
oligodendrocytes 16,121.0,0.266,85.0,3,1,33.33,2.62 (NA-NA),2,66.67,3.09 (0.39-5.80)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,125.0,0.357,80.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.153,66.0,104,24,23.08,1.64 (1.30-1.97),80,76.92,3.27 (2.97-3.58)
oligodendrocytes 0,2078.0,0.097,17.0,238,8,3.36,2.01 (1.45-2.57),230,96.64,3.70 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.068,24.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,1630.0,0.135,36.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
