tipo_celular,module_size,TECR_MM,TECR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,349.0,0.054,3.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,328.0,0.127,30.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,666.0,0.225,80.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,203.0,0.302,63.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,265.0,0.09,6.0,78,4,5.13,3.77 (3.66-3.88),74,94.87,4.40 (3.96-4.84)
endothelial cells 9,916.0,0.246,61.0,302,16,5.3,3.27 (2.68-3.86),286,94.7,4.04 (3.80-4.27)
oligodendrocytes 20,938.0,0.199,80.0,169,14,8.28,2.97 (2.21-3.73),155,91.72,3.54 (3.31-3.77)
GABA like neurons 14,2402.0,0.298,66.0,455,26,5.71,2.40 (1.79-3.01),429,94.29,4.51 (4.32-4.69)
astrocytes 8,603.0,0.101,66.0,89,3,3.37,1.03 (0.73-1.32),86,96.63,2.84 (2.49-3.20)
oligodendrocyte progenitor cells 12,708.0,0.212,76.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,483.0,0.059,16.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,118.0,0.313,54.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,338.0,0.117,24.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,116.0,0.138,11.0,3,0,0.0,NA,3,100.0,0.40 (0.12-0.68)
da neurons 6,729.0,0.088,16.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,126.0,0.284,30.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,208.0,0.114,7.0,173,0,0.0,NA,173,100.0,3.80 (3.50-4.10)
oligodendrocytes 0,546.0,0.2,65.0,252,25,9.92,2.28 (1.67-2.89),227,90.08,4.37 (4.12-4.61)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.078,20.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526.0,0.284,56.0,213,8,3.76,3.97 (3.81-4.12),205,96.24,3.98 (3.69-4.27)
