tipo_celular,module_size,HAPLN2_MM,HAPLN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,229.0,0.229,67.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.327,85.0,91,7,7.69,3.17 (1.75-4.58),84,92.31,4.70 (4.15-5.25)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,938.0,0.263,91.0,169,4,2.37,2.24 (0.12-4.36),165,97.63,3.52 (3.30-3.73)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708.0,0.374,92.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236.0,0.67,92.0,82,11,13.41,5.07 (3.80-6.35),71,86.59,4.98 (4.40-5.55)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,287.0,0.403,79.0,105,19,18.1,3.58 (2.74-4.43),86,81.9,5.63 (5.19-6.07)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.232,82.0,42,13,30.95,3.82 (2.54-5.10),29,69.05,4.23 (3.44-5.02)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,127.0,0.446,89.0,45,14,31.11,4.24 (3.02-5.46),31,68.89,4.40 (3.18-5.63)
oligodendrocytes 2,526.0,0.457,89.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
