tipo_celular,module_size,SETDB1_MM,SETDB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.136,31.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.104,32.0,136,4,2.94,1.58 (1.21-1.95),132,97.06,3.26 (2.99-3.54)
oligodendrocyte progenitor cells 7,4285.0,0.133,47.0,353,50,14.16,2.07 (1.75-2.39),303,85.84,4.29 (4.11-4.47)
GABA neurons expressing GLU receptors 22,714.0,0.155,35.0,17,6,35.29,2.69 (2.26-3.13),11,64.71,2.10 (1.23-2.96)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,142.0,0.276,64.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,279.0,0.024,2.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,3052.0,0.083,10.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266.0,0.043,8.0,66,20,30.3,1.91 (1.38-2.44),46,69.7,3.94 (3.50-4.37)
oligodendrocyte progenitor cells 12,3303.0,0.088,62.0,276,35,12.68,2.01 (1.72-2.29),241,87.32,3.84 (3.61-4.07)
oligodendrocytes 10,2107.0,0.114,35.0,358,65,18.16,2.14 (1.81-2.47),293,81.84,4.31 (4.13-4.50)
connective tissue cells 21,116.0,0.384,92.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768.0,0.098,61.0,105,20,19.05,1.74 (1.39-2.10),85,80.95,3.59 (3.23-3.96)
oligodendrocytes 16,64.0,0.268,88.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,111.0,0.275,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.155,69.0,104,24,23.08,1.77 (1.42-2.13),80,76.92,3.22 (2.91-3.54)
oligodendrocytes 0,2078.0,0.104,29.0,238,14,5.88,2.75 (2.12-3.38),224,94.12,3.70 (3.47-3.93)
microglia 1,1615.0,0.099,33.0,161,45,27.95,2.02 (1.68-2.36),116,72.05,3.90 (3.61-4.19)
oligodendrocytes 3,1003.0,0.032,1.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,1630.0,0.135,35.0,154,1,0.65,NA,153,99.35,3.24 (2.98-3.51)
