tipo_celular,module_size,RNF41_MM,RNF41_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.117,17.0,98,2,2.04,2.15 (-0.98-5.28),96,97.96,3.24 (2.77-3.72)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.113,55.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,703.0,0.106,11.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.101,16.0,410,22,5.37,3.65 (3.17-4.13),388,94.63,4.29 (4.09-4.49)
GABA neurons expressing GABA receptors 13,200.0,0.127,30.0,34,1,2.94,3.41 (NA-NA),33,97.06,3.91 (2.99-4.82)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2402.0,0.191,38.0,455,32,7.03,2.91 (2.25-3.57),423,92.97,4.49 (4.30-4.67)
astrocytes 8,260.0,0.089,27.0,4,3,75.0,1.10 (-0.55-2.76),1,25.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367.0,0.127,40.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.11,35.0,124,12,9.68,3.48 (2.20-4.76),112,90.32,4.24 (3.83-4.65)
astrocytes microglia 23,161.0,0.272,31.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,1807.0,0.171,91.0,104,21,20.19,2.46 (1.91-3.00),83,79.81,2.98 (2.65-3.30)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,1615.0,0.069,3.0,161,39,24.22,2.33 (1.81-2.86),122,75.78,3.57 (3.28-3.86)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
