tipo_celular,module_size,CDH20_MM,CDH20_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.4,97.0,98,3,3.06,6.44 (3.84-9.04),95,96.94,4.53 (4.12-4.94)
oligodendrocyte progenitor cells 7,436.0,0.137,55.0,219,13,5.94,5.56 (4.49-6.63),206,94.06,5.18 (4.88-5.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.451,98.0,135,4,2.96,2.68 (-0.80-6.16),131,97.04,3.20 (2.90-3.51)
da like neurons 11,408.0,0.596,95.0,25,4,16.0,2.16 (1.46-2.86),21,84.0,5.23 (3.73-6.72)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.619,94.0,74,1,1.35,1.74 (NA-NA),73,98.65,5.54 (5.00-6.08)
oligodendrocytes 20,676.0,0.213,44.0,110,12,10.91,4.91 (3.80-6.02),98,89.09,5.01 (4.51-5.50)
GABA like neurons 14,3052.0,0.183,84.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,140.0,0.516,100.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,411.0,0.275,69.0,103,5,4.85,6.67 (5.11-8.24),98,95.15,5.47 (5.08-5.87)
oligodendrocytes 10,204.0,0.455,54.0,92,8,8.7,5.09 (3.66-6.51),84,91.3,5.80 (5.30-6.30)
connective tissue cells 21,250.0,0.495,76.0,117,16,13.68,4.05 (3.04-5.05),101,86.32,5.68 (5.28-6.08)
astrocytes 15,418.0,0.248,63.0,54,2,3.7,1.95 (0.66-3.24),52,96.3,3.76 (3.31-4.20)
oligodendrocytes 16,287.0,0.161,15.0,105,13,12.38,3.80 (2.72-4.89),92,87.62,5.34 (4.87-5.81)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,122.0,0.357,77.0,46,2,4.35,4.55 (3.21-5.89),44,95.65,5.05 (4.47-5.64)
astrocytes 4,201.0,0.146,29.0,18,3,16.67,4.45 (0.69-8.21),15,83.33,4.56 (3.75-5.37)
oligodendrocytes 0,187.0,0.1,10.0,14,1,7.14,7.00 (NA-NA),13,92.86,5.40 (4.79-6.01)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,681.0,0.147,85.0,87,3,3.45,1.09 (0.25-1.94),84,96.55,2.64 (2.37-2.91)
oligodendrocytes 2,407.0,0.18,73.0,122,2,1.64,1.25 (-0.12-2.62),120,98.36,3.38 (2.99-3.76)
