tipo_celular,module_size,RPL38_MM,RPL38_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.485,89.0,98,30,30.61,3.07 (2.38-3.77),68,69.39,3.29 (2.66-3.91)
T cells 18,506.0,0.245,67.0,225,35,15.56,3.15 (2.57-3.74),190,84.44,3.71 (3.44-3.98)
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,448.0,0.339,93.0,108,10,9.26,3.57 (3.06-4.08),98,90.74,3.22 (2.73-3.71)
GABA neurons expressing GLU receptors 22,487.0,0.512,100.0,73,18,24.66,2.90 (2.29-3.50),55,75.34,2.70 (2.22-3.18)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417.0,0.132,28.0,213,34,15.96,2.57 (2.05-3.10),179,84.04,4.03 (3.78-4.29)
endothelial cells 9,916.0,0.526,94.0,302,12,3.97,3.19 (2.19-4.19),290,96.03,4.01 (3.78-4.25)
oligodendrocytes 20,938.0,0.118,46.0,169,22,13.02,3.01 (2.38-3.63),147,86.98,3.56 (3.32-3.79)
GABA like neurons 14,2402.0,0.591,95.0,455,34,7.47,2.36 (1.86-2.86),421,92.53,4.55 (4.37-4.73)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,1049.0,0.455,98.0,235,13,5.53,3.65 (3.18-4.12),222,94.47,3.84 (3.59-4.08)
oligodendrocytes 10,483.0,0.25,78.0,129,20,15.5,4.09 (3.43-4.75),109,84.5,3.32 (2.88-3.76)
connective tissue cells 21,92.0,0.338,70.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,158.0,0.344,97.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729.0,0.219,80.0,182,26,14.29,3.17 (2.47-3.86),156,85.71,3.71 (3.44-3.98)
astrocytes microglia 23,137.0,0.436,75.0,188,34,18.09,2.87 (2.25-3.49),154,81.91,4.77 (4.40-5.13)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,546.0,0.231,75.0,252,40,15.87,2.74 (2.15-3.34),212,84.13,4.39 (4.13-4.64)
microglia 1,406.0,0.442,82.0,278,13,4.68,3.82 (3.33-4.32),265,95.32,4.39 (4.10-4.67)
oligodendrocytes 3,303.0,0.294,96.0,154,16,10.39,4.00 (3.42-4.57),138,89.61,3.58 (3.23-3.92)
oligodendrocytes 2,526.0,0.349,75.0,213,10,4.69,3.82 (3.33-4.32),203,95.31,3.99 (3.70-4.28)
