tipo_celular,module_size,LATS2_MM,LATS2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.141,44.0,80,8,10.0,4.01 (3.01-5.01),72,90.0,3.32 (2.80-3.84)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,823.0,0.114,14.0,23,9,39.13,3.34 (2.45-4.23),14,60.87,1.80 (0.90-2.69)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.192,57.0,141,7,4.96,3.45 (1.55-5.35),134,95.04,2.93 (2.70-3.16)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,218.0,0.104,54.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,104.0,0.23,23.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401.0,0.048,16.0,96,14,14.58,3.36 (2.41-4.30),82,85.42,3.66 (3.16-4.17)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,95.0,0.348,66.0,4,0,0.0,NA,4,100.0,0.43 (0.30-0.56)
astrocytes 4,514.0,0.193,56.0,95,18,18.95,3.06 (2.28-3.84),77,81.05,3.47 (2.97-3.97)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
