tipo_celular,module_size,FBXW5_MM,FBXW5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,282.0,0.11,25.0,241,2,0.83,3.20 (1.30-5.10),239,99.17,4.07 (3.81-4.32)
astrocytes 5,423.0,0.113,23.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285.0,0.102,11.0,353,38,10.76,2.80 (2.34-3.26),315,89.24,4.06 (3.87-4.26)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,1220.0,0.152,39.0,410,20,4.88,3.22 (2.66-3.77),390,95.12,4.31 (4.12-4.51)
GABA neurons expressing GABA receptors 13,200.0,0.109,14.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,916.0,0.117,20.0,302,3,0.99,1.81 (-0.05-3.68),299,99.01,4.01 (3.79-4.24)
oligodendrocytes 20,250.0,0.181,53.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402.0,0.179,34.0,455,26,5.71,2.80 (2.19-3.40),429,94.29,4.47 (4.28-4.66)
astrocytes 8,603.0,0.105,67.0,89,3,3.37,0.92 (0.81-1.03),86,96.63,2.85 (2.50-3.20)
oligodendrocyte progenitor cells 12,1049.0,0.066,31.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735.0,0.118,62.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.041,20.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,151.0,0.181,42.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553.0,0.088,20.0,124,9,7.26,4.46 (3.73-5.19),115,92.74,4.16 (3.73-4.58)
astrocytes microglia 23,110.0,0.405,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.127,21.0,104,18,17.31,2.21 (1.63-2.78),86,82.69,3.01 (2.70-3.32)
oligodendrocytes 0,2078.0,0.068,1.0,238,12,5.04,3.58 (2.77-4.39),226,94.96,3.64 (3.41-3.87)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,303.0,0.074,16.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,1630.0,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
