tipo_celular,module_size,TMC6_MM,TMC6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.199,52.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727.0,0.073,4.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1656.0,0.072,3.0,136,3,2.21,3.53 (3.11-3.95),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,450.0,0.109,15.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,279.0,0.13,19.0,16,2,12.5,4.17 (NA-NA),14,87.5,2.26 (1.50-3.01)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,771.0,0.115,48.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,1277.0,0.14,69.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.061,27.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,74.0,0.17,32.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,140.0,0.249,12.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,1807.0,0.119,11.0,104,8,7.69,2.29 (1.29-3.28),96,92.31,2.91 (2.62-3.21)
oligodendrocytes 0,613.0,0.153,59.0,127,1,0.79,4.17 (NA-NA),126,99.21,3.04 (2.62-3.45)
microglia 1,958.0,0.101,33.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,187.0,0.116,60.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,528.0,0.141,14.0,175,18,10.29,3.35 (2.87-3.82),157,89.71,4.49 (4.11-4.86)
