tipo_celular,module_size,SH3RF3_MM,SH3RF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235.0,0.19,40.0,140,8,5.71,2.55 (2.04-3.06),132,94.29,4.68 (4.39-4.96)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.11,14.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.184,99.0,353,38,10.76,3.02 (2.55-3.48),315,89.24,4.01 (3.81-4.21)
GABA neurons expressing GLU receptors 22,459.0,0.231,75.0,165,8,4.85,2.12 (1.36-2.88),157,95.15,5.29 (4.96-5.62)
GLU like neurons 17,489.0,0.147,56.0,42,1,2.38,2.68 (NA-NA),41,97.62,6.11 (5.58-6.64)
da like neurons 11,120.0,0.431,90.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,303.0,0.39,88.0,54,0,0.0,NA,54,100.0,4.84 (4.22-5.46)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,1300.0,0.281,82.0,306,17,5.56,2.34 (1.79-2.88),289,94.44,5.32 (5.07-5.58)
astrocytes 8,140.0,0.029,3.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,708.0,0.419,94.0,32,1,3.12,3.56 (NA-NA),31,96.88,3.23 (2.40-4.07)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,111.0,0.297,58.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.109,71.0,96,3,3.12,1.90 (1.73-2.07),93,96.88,3.68 (3.22-4.14)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,229.0,0.349,68.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,787.0,0.079,0.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,813.0,0.283,99.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
