tipo_celular,module_size,DCAF10_MM,DCAF10_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.144,39.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,727.0,0.095,13.0,49,1,2.04,4.44 (NA-NA),48,97.96,2.38 (1.99-2.78)
astrocytes 5,932.0,0.079,9.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.143,62.0,353,19,5.38,1.93 (1.30-2.56),334,94.62,4.04 (3.85-4.22)
GABA neurons expressing GLU receptors 22,703.0,0.212,66.0,23,3,13.04,2.93 (1.07-4.79),20,86.96,1.96 (1.19-2.73)
GLU like neurons 17,1247.0,0.103,27.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,94.0,0.218,49.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.131,53.0,297,2,0.67,4.54 (4.34-4.75),295,99.33,3.67 (3.46-3.87)
oligodendrocytes 20,279.0,0.232,57.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2090.0,0.097,12.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,1266.0,0.072,39.0,66,10,15.15,1.65 (0.91-2.39),56,84.85,3.56 (3.13-3.99)
oligodendrocyte progenitor cells 12,3303.0,0.086,59.0,276,14,5.07,2.47 (1.82-3.12),262,94.93,3.62 (3.39-3.84)
oligodendrocytes 10,2107.0,0.129,42.0,358,20,5.59,2.14 (1.41-2.86),338,94.41,4.00 (3.81-4.19)
connective tissue cells 21,111.0,0.297,60.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,443.0,0.094,10.0,9,0,0.0,NA,9,100.0,3.27 (1.98-4.55)
oligodendrocytes 16,113.0,0.133,18.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,131.0,0.278,29.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,721.0,0.132,16.0,61,2,3.28,4.54 (4.34-4.75),59,96.72,2.91 (2.49-3.33)
oligodendrocytes 0,1186.0,0.118,14.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813.0,0.114,48.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,1003.0,0.077,29.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921.0,0.109,11.0,200,2,1.0,3.91 (2.46-5.36),198,99.0,3.62 (3.35-3.89)
