tipo_celular,module_size,DCLK1_MM,DCLK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.284,95.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,192.0,0.137,55.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,489.0,0.195,78.0,42,13,30.95,6.15 (5.09-7.20),29,69.05,5.87 (5.28-6.47)
da like neurons 11,191.0,0.39,75.0,93,20,21.51,5.37 (4.45-6.29),73,78.49,5.76 (5.33-6.19)
GABA neurons expressing GABA receptors 13,75.0,0.14,37.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,412.0,0.239,74.0,141,6,4.26,3.11 (2.46-3.76),135,95.74,2.95 (2.70-3.20)
oligodendrocytes 20,330.0,0.223,69.0,36,1,2.78,1.01 (NA-NA),35,97.22,1.95 (1.59-2.30)
GABA like neurons 14,1300.0,0.222,57.0,306,42,13.73,4.10 (3.47-4.73),264,86.27,5.35 (5.07-5.62)
astrocytes 8,279.0,0.29,57.0,78,8,10.26,3.06 (2.24-3.88),70,89.74,4.48 (4.04-4.93)
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,806.0,0.335,84.0,261,15,5.75,5.09 (3.84-6.34),246,94.25,4.30 (4.06-4.54)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.208,97.0,96,6,6.25,3.77 (3.07-4.46),90,93.75,3.60 (3.12-4.08)
oligodendrocytes 16,313.0,0.145,17.0,291,8,2.75,2.23 (1.69-2.77),283,97.25,4.40 (4.18-4.63)
da neurons 6,307.0,0.135,63.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,89.0,0.53,98.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.321,94.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,117.0,0.127,36.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,457.0,0.148,64.0,345,12,3.48,2.42 (2.02-2.82),333,96.52,4.37 (4.16-4.58)
oligodendrocytes 2,921.0,0.145,64.0,200,5,2.5,2.83 (1.93-3.73),195,97.5,3.65 (3.37-3.92)
