tipo_celular,module_size,GPR137C_MM,GPR137C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,666.0,0.236,83.0,127,14,11.02,2.32 (1.80-2.84),113,88.98,4.13 (3.77-4.48)
GABA neurons expressing GLU receptors 22,1069.0,0.242,91.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1316.0,0.169,83.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,408.0,0.14,39.0,25,4,16.0,0.74 (0.41-1.07),21,84.0,5.58 (4.35-6.82)
GABA neurons expressing GABA receptors 13,73.0,0.124,23.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,295.0,0.261,77.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,1300.0,0.247,68.0,306,13,4.25,2.13 (1.48-2.79),293,95.75,5.29 (5.04-5.55)
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,3,1.09,1.33 (0.59-2.06),273,98.91,3.57 (3.36-3.79)
oligodendrocytes 10,1277.0,0.146,71.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,66.0,0.198,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,44.0,0.309,59.0,2,0,0.0,NA,2,100.0,4.12 (4.00-4.25)
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,479.0,0.191,77.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.171,87.0,15,4,26.67,0.50 (0.20-0.80),11,73.33,4.56 (3.30-5.82)
oligodendrocytes 2,804.0,0.213,95.0,84,2,2.38,0.58 (-0.15-1.31),82,97.62,2.75 (2.42-3.09)
