tipo_celular,module_size,LRP2_MM,LRP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,637.0,0.367,90.0,91,19,20.88,2.29 (1.49-3.09),72,79.12,5.43 (4.97-5.89)
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,676.0,0.446,73.0,110,30,27.27,4.58 (3.70-5.47),80,72.73,5.22 (4.73-5.71)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 10,236.0,0.69,97.0,82,20,24.39,5.08 (4.20-5.96),62,75.61,4.96 (4.31-5.60)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 16,153.0,0.385,60.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 4,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 0,261.0,0.299,97.0,42,18,42.86,3.53 (2.47-4.59),24,57.14,4.59 (3.75-5.44)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,116.0,0.309,83.0,7,3,42.86,2.01 (-0.06-4.08),4,57.14,6.27 (6.14-6.40)
oligodendrocytes 2,407.0,0.153,50.0,122,25,20.49,1.97 (1.42-2.52),97,79.51,3.81 (3.38-4.24)
