tipo_celular,module_size,ZNF577_MM,ZNF577_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.148,93.0,136,6,4.41,1.52 (1.26-1.78),130,95.59,3.30 (3.02-3.57)
oligodendrocyte progenitor cells 7,4285.0,0.154,78.0,353,34,9.63,1.57 (1.30-1.84),319,90.37,4.22 (4.05-4.39)
GABA neurons expressing GLU receptors 22,203.0,0.332,74.0,12,0,0.0,NA,12,100.0,2.44 (0.91-3.97)
GLU like neurons 17,795.0,0.086,21.0,80,0,0.0,NA,80,100.0,5.68 (5.27-6.09)
da like neurons 11,853.0,0.129,50.0,133,37,27.82,1.84 (1.55-2.13),96,72.18,3.94 (3.59-4.29)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,271.0,0.388,93.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2090.0,0.134,36.0,74,15,20.27,2.32 (2.04-2.60),59,79.73,3.13 (2.66-3.60)
astrocytes 8,771.0,0.043,8.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708.0,0.112,52.0,32,5,15.62,0.42 (0.32-0.52),27,84.38,3.86 (3.08-4.64)
oligodendrocytes 10,1277.0,0.116,56.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,69.0,0.353,73.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401.0,0.033,5.0,96,1,1.04,1.85 (NA-NA),95,98.96,3.64 (3.18-4.09)
oligodendrocytes 16,64.0,0.215,66.0,1,0,0.0,NA,1,100.0,0.39 (NA-NA)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,114.0,0.277,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.187,98.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.134,88.0,238,9,3.78,2.10 (1.58-2.62),229,96.22,3.71 (3.48-3.93)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.084,40.0,15,3,20.0,0.35 (0.26-0.44),12,80.0,4.20 (2.87-5.53)
oligodendrocytes 2,804.0,0.146,44.0,84,2,2.38,0.51 (-0.09-1.11),82,97.62,2.76 (2.42-3.09)
