tipo_celular,module_size,TYW3_MM,TYW3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.113,44.0,136,7,5.15,2.78 (1.52-4.05),129,94.85,3.23 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.144,63.0,353,22,6.23,1.89 (1.33-2.44),331,93.77,4.07 (3.88-4.25)
GABA neurons expressing GLU receptors 22,703.0,0.166,38.0,23,1,4.35,2.53 (NA-NA),22,95.65,2.07 (1.33-2.82)
GLU like neurons 17,,,,0,0,0.0,NA,0,0.0,NA
da like neurons 11,,,,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385.0,0.058,6.0,275,17,6.18,1.64 (1.11-2.18),258,93.82,4.18 (3.92-4.44)
oligodendrocytes 20,938.0,0.081,28.0,169,3,1.78,0.69 (0.05-1.34),166,98.22,3.54 (3.33-3.75)
GABA like neurons 14,2402.0,0.113,13.0,455,11,2.42,1.61 (0.86-2.35),444,97.58,4.44 (4.25-4.62)
astrocytes 8,577.0,0.068,36.0,83,2,2.41,2.76 (2.30-3.22),81,97.59,3.27 (2.80-3.73)
oligodendrocyte progenitor cells 12,411.0,0.03,4.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,735.0,0.053,14.0,277,1,0.36,3.85 (NA-NA),276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,92.0,0.26,32.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768.0,0.059,22.0,105,13,12.38,1.59 (1.09-2.09),92,87.62,3.46 (3.11-3.81)
oligodendrocytes 16,156.0,0.275,86.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,110.0,0.352,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.143,47.0,104,18,17.31,1.66 (1.29-2.04),86,82.69,3.14 (2.83-3.44)
oligodendrocytes 0,2078.0,0.1,21.0,238,10,4.2,3.06 (2.02-4.10),228,95.8,3.67 (3.44-3.89)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,639.0,0.041,3.0,15,4,26.67,1.60 (0.44-2.77),11,73.33,4.07 (2.36-5.78)
oligodendrocytes 2,1630.0,0.14,47.0,154,2,1.3,5.16 (NA-NA),152,98.7,3.23 (2.96-3.50)
