tipo_celular,module_size,MYH9_MM,MYH9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.274,84.0,73,2,2.74,2.78 (NA-NA),71,97.26,3.58 (3.23-3.93)
T cells 18,388.0,0.17,62.0,84,4,4.76,3.41 (2.13-4.70),80,95.24,2.95 (2.61-3.29)
astrocytes 5,322.0,0.302,89.0,58,23,39.66,4.06 (3.29-4.82),35,60.34,4.26 (3.78-4.74)
oligodendrocyte progenitor cells 7,666.0,0.235,82.0,127,30,23.62,2.98 (2.31-3.64),97,76.38,4.11 (3.74-4.48)
GABA neurons expressing GLU receptors 22,,,,0,0,0.0,NA,0,0.0,NA
GLU like neurons 17,685.0,0.175,69.0,135,46,34.07,2.18 (1.85-2.51),89,65.93,3.71 (3.33-4.10)
da like neurons 11,853.0,0.117,39.0,133,43,32.33,2.23 (1.83-2.64),90,67.67,3.84 (3.46-4.21)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,412.0,0.222,67.0,141,8,5.67,2.57 (1.41-3.73),133,94.33,2.99 (2.74-3.23)
oligodendrocytes 20,271.0,0.173,50.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 8,577.0,0.142,78.0,83,5,6.02,2.40 (0.67-4.13),78,93.98,3.31 (2.84-3.77)
oligodendrocyte progenitor cells 12,3303.0,0.037,6.0,276,59,21.38,2.41 (2.14-2.68),217,78.62,3.96 (3.71-4.21)
oligodendrocytes 10,2107.0,0.212,72.0,358,66,18.44,2.15 (1.87-2.42),292,81.56,4.42 (4.24-4.60)
connective tissue cells 21,125.0,0.236,24.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,1401.0,0.172,93.0,96,29,30.21,3.75 (3.05-4.46),67,69.79,3.56 (3.01-4.12)
oligodendrocytes 16,61.0,0.267,85.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,43.0,0.371,60.0,3,2,66.67,1.82 (NA-NA),1,33.33,NA
astrocytes 4,514.0,0.205,61.0,95,19,20.0,2.95 (2.26-3.63),76,80.0,3.51 (3.00-4.02)
oligodendrocytes 0,2078.0,0.126,75.0,238,13,5.46,2.66 (2.06-3.27),225,94.54,3.70 (3.47-3.93)
microglia 1,958.0,0.13,76.0,290,28,9.66,2.66 (2.21-3.10),262,90.34,3.96 (3.72-4.21)
oligodendrocytes 3,639.0,0.089,45.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,804.0,0.14,36.0,84,9,10.71,1.62 (0.84-2.40),75,89.29,2.85 (2.50-3.21)
