tipo_celular,module_size,CLCN7_MM,CLCN7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206.0,0.237,68.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.089,20.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,296.0,0.074,2.0,251,3,1.2,2.46 (2.33-2.60),248,98.8,4.10 (3.86-4.34)
GABA neurons expressing GLU receptors 22,1069.0,0.112,14.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,300.0,0.184,46.0,16,1,6.25,0.79 (NA-NA),15,93.75,2.18 (1.29-3.08)
da like neurons 11,215.0,0.266,71.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,357.0,0.125,29.0,237,6,2.53,3.37 (NA-NA),231,97.47,4.41 (4.18-4.65)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,358.0,0.035,10.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052.0,0.153,62.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,603.0,0.087,58.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,708.0,0.064,26.0,32,7,21.88,0.96 (0.24-1.68),25,78.12,4.01 (3.18-4.83)
oligodendrocytes 10,735.0,0.096,50.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401.0,0.084,49.0,96,1,1.04,2.00 (NA-NA),95,98.96,3.63 (3.18-4.09)
oligodendrocytes 16,123.0,0.208,46.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,300.0,0.194,61.0,159,4,2.52,3.99 (3.84-4.14),155,97.48,4.38 (4.06-4.70)
astrocytes microglia 23,110.0,0.308,52.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721.0,0.13,14.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613.0,0.093,6.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615.0,0.082,12.0,161,9,5.59,0.71 (0.37-1.04),152,94.41,3.46 (3.20-3.72)
oligodendrocytes 3,743.0,0.064,23.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.156,79.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
