tipo_celular,module_size,MAN2C1_MM,MAN2C1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185.0,0.096,10.0,98,0,0.0,NA,98,100.0,3.21 (2.74-3.68)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.071,4.0,80,1,1.25,6.08 (NA-NA),79,98.75,3.64 (3.23-4.04)
oligodendrocyte progenitor cells 7,4285.0,0.107,14.0,353,18,5.1,1.62 (1.05-2.18),335,94.9,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,459.0,0.081,11.0,165,0,0.0,NA,165,100.0,5.06 (4.72-5.41)
GLU like neurons 17,1247.0,0.074,11.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,204.0,0.189,51.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,,,,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,1653.0,0.069,7.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,,,,0,0,0.0,NA,0,0.0,NA
GABA like neurons 14,2090.0,0.244,93.0,74,1,1.35,2.53 (NA-NA),73,98.65,2.95 (2.57-3.33)
astrocytes 8,603.0,0.093,61.0,89,2,2.25,0.88 (0.76-1.00),87,97.75,2.82 (2.47-3.17)
oligodendrocyte progenitor cells 12,708.0,0.071,29.0,32,6,18.75,0.94 (-0.08-1.95),26,81.25,3.87 (3.06-4.69)
oligodendrocytes 10,,,,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,145.0,0.284,44.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768.0,0.106,68.0,105,9,8.57,1.76 (1.10-2.43),96,91.43,3.36 (3.01-3.71)
oligodendrocytes 16,,,,0,0,0.0,NA,0,0.0,NA
da neurons 6,,,,0,0,0.0,NA,0,0.0,NA
astrocytes microglia 23,157.0,0.262,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.145,51.0,104,12,11.54,1.92 (1.27-2.57),92,88.46,3.00 (2.70-3.29)
oligodendrocytes 0,,,,0,0,0.0,NA,0,0.0,NA
microglia 1,958.0,0.072,4.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,,,,0,0,0.0,NA,0,0.0,NA
