tipo_celular,module_size,FUT9_MM,FUT9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,,,,0,0,0.0,NA,0,0.0,NA
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,222.0,0.148,23.0,98,5,5.1,2.96 (1.41-4.51),93,94.9,4.70 (4.29-5.12)
oligodendrocyte progenitor cells 7,200.0,0.128,26.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,459.0,0.161,52.0,165,10,6.06,2.58 (1.76-3.39),155,93.94,5.30 (4.97-5.64)
GLU like neurons 17,637.0,0.109,26.0,91,15,16.48,1.72 (1.01-2.42),76,83.52,5.35 (4.91-5.79)
da like neurons 11,77.0,0.475,91.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,265.0,0.183,65.0,78,3,3.85,3.26 (2.83-3.68),75,96.15,4.42 (3.99-4.85)
endothelial cells 9,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 20,298.0,0.198,69.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300.0,0.234,62.0,306,40,13.07,4.01 (3.40-4.62),266,86.93,5.35 (5.07-5.63)
astrocytes 8,262.0,0.327,97.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,103.0,0.441,40.0,9,3,33.33,5.41 (5.28-5.54),6,66.67,2.24 (0.06-4.41)
oligodendrocytes 10,806.0,0.287,77.0,261,17,6.51,4.72 (3.74-5.69),244,93.49,4.33 (4.08-4.58)
connective tissue cells 21,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418.0,0.397,83.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,87.0,0.175,44.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.233,90.0,124,3,2.42,2.03 (0.43-3.63),121,97.58,4.26 (3.86-4.65)
astrocytes microglia 23,141.0,0.332,82.0,30,9,30.0,4.86 (3.52-6.19),21,70.0,6.22 (5.10-7.34)
astrocytes 4,220.0,0.255,88.0,63,18,28.57,4.36 (3.51-5.21),45,71.43,5.59 (4.89-6.29)
oligodendrocytes 0,309.0,0.196,84.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,,,,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 3,1003.0,0.221,97.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348.0,0.2,51.0,114,27,23.68,4.93 (4.37-5.50),87,76.32,5.20 (4.66-5.75)
